user_id,end_week,is_dropout_point,spectral_agg,spectral_eucl,kmeans_flat,kmeans_eucl
388113,45,0,0,2,0,3
388114,45,0,0,2,0,3
388118,51,0,0,3,0,3
388119,54,0,0,1,0,0
388120,26,1,0,1,0,0
388120,38,0,0,1,0,0
388120,39,0,0,1,0,0
388121,41,0,0,2,0,3
388122,25,1,0,2,0,3
388123,26,1,0,1,0,0
388123,40,0,0,1,0,0
388124,32,0,0,1,0,0
388124,39,1,0,2,0,3
388124,55,0,0,1,0,0
388124,64,0,0,2,0,3
388133,12,1,0,2,2,3
388136,14,1,0,1,0,0
388139,14,1,0,2,3,3
388141,11,0,0,2,2,3
388142,11,1,0,2,1,2
388144,26,1,0,0,1,2
388144,47,0,0,1,0,0
388158,22,1,0,1,0,0
388158,24,1,0,1,0,0
388158,30,1,0,1,0,0
388159,23,0,0,1,0,0
388159,25,0,0,1,0,0
388162,20,0,0,1,0,0
388165,17,0,0,1,0,0
388165,24,0,0,1,0,0
388170,23,0,0,1,0,0
388170,31,1,0,1,0,0
388170,32,0,0,1,0,0
388173,11,1,0,0,0,2
388173,14,1,0,1,0,0
388227,13,1,0,0,0,2
388238,45,1,0,0,1,2
388239,80,0,0,1,0,0
388244,57,0,0,1,0,0
388246,46,0,0,3,0,1
388247,19,1,0,3,1,1
388248,20,0,0,2,0,1
388248,29,1,0,3,1,1
388248,38,0,0,2,0,3
388248,46,0,0,0,0,2
388249,13,1,0,2,0,3
388250,66,0,0,1,0,0
388251,18,1,0,1,0,0
388251,20,1,0,1,0,0
388251,47,0,0,0,0,2
388251,57,1,0,2,0,3
388257,45,0,0,1,0,0
388257,50,0,0,1,0,0
388258,42,0,0,2,0,3
388259,50,0,0,0,1,2
388260,17,0,0,1,0,0
388260,22,1,0,2,0,3
388260,23,1,0,2,0,3
388261,14,1,0,1,0,3
388261,47,0,0,3,0,3
388261,56,1,0,3,0,1
388261,60,1,0,1,0,2
388265,49,0,0,0,1,2
388265,51,0,0,1,0,0
388265,58,1,0,1,0,0
388288,29,1,0,0,0,2
388288,48,0,0,1,0,0
388289,12,0,0,1,0,0
388289,18,0,0,0,0,2
388289,27,1,0,3,2,1
388289,30,1,0,0,1,2
388290,12,1,0,3,0,1
388290,36,0,0,2,0,3
388290,58,0,0,1,0,0
388290,66,1,0,1,0,0
388299,27,1,0,1,0,0
388299,40,0,0,2,0,3
388299,42,0,0,3,0,1
388299,48,0,0,1,0,0
388299,63,1,0,1,0,0
388310,34,1,0,0,1,2
388310,42,0,0,0,0,2
388355,12,0,0,1,0,0
388355,16,1,0,1,0,0
388359,67,1,0,1,0,0
388363,25,0,0,3,0,1
388363,50,0,0,2,0,3
388365,16,1,0,1,0,0
388365,36,0,0,1,0,0
388366,27,1,0,1,0,0
388366,28,1,0,1,0,0
388366,40,0,0,1,0,0
388368,24,0,0,1,0,0
388379,45,0,0,1,0,0
388382,37,1,0,1,0,0
388382,45,0,0,1,0,0
388382,51,0,0,1,0,0
388387,23,0,0,0,1,2
388387,39,0,0,2,1,3
388387,58,1,2,3,2,1
388387,67,0,0,1,0,0
388396,11,1,0,0,0,2
388396,29,0,0,1,0,0
388401,11,1,0,0,0,0
388402,16,1,0,1,0,0
388403,15,1,0,1,0,0
388403,18,1,0,1,0,0
388414,28,0,0,1,0,0
388419,40,1,0,1,0,0
388419,48,1,0,1,0,0
388455,29,1,0,2,0,3
388462,13,1,0,1,0,0
388462,16,1,0,1,0,0
388462,20,1,0,1,0,0
388465,14,1,0,3,0,1
388465,40,0,0,1,0,0
388472,44,1,0,1,0,0
388472,47,1,0,1,0,0
388481,38,1,0,1,0,0
388481,52,0,0,1,0,0
388483,36,1,0,2,0,3
388484,19,1,0,1,0,0
388485,32,0,0,1,0,0
388486,12,1,0,1,0,0
388486,20,1,0,1,0,0
388486,33,1,0,2,0,3
388487,17,1,0,2,2,3
388488,23,1,0,1,0,0
388489,14,1,0,1,0,0
388489,20,1,0,1,0,0
388490,28,0,0,1,0,0
388490,48,0,0,1,0,0
388493,26,1,0,1,0,0
388493,34,0,0,1,0,0
388493,39,0,0,1,0,0
388494,52,0,0,1,0,0
388496,17,1,0,1,0,0
388496,23,1,0,1,0,0
388497,16,1,0,1,0,0
388498,13,0,0,2,2,1
388508,11,1,0,0,0,2
388509,16,1,0,3,0,1
388509,32,1,0,1,0,0
388509,60,0,0,2,0,3
388509,62,0,0,2,0,3
388517,17,0,0,2,2,3
388519,13,0,0,2,0,3
388521,20,0,0,1,0,0
388521,24,0,0,3,0,0
388523,24,1,0,1,0,0
388523,28,0,0,1,0,0
388523,46,0,0,1,0,0
388527,56,0,0,1,0,0
