user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,school_type,end_week,is_dropout_point,cluster_spectral_eucl,spectral_agg,kmeans_flat,kmeans_eucl,stage2_outcome,canton_top,engagement_score,engagement_level
394277,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,19,1,0,0,1,0,1,AG,0.012953296471483019,Low
394277,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,55,1,0,0,1,0,1,AG,0.012953296471483019,Low
394277,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,65,1,0,0,1,0,1,AG,0.012953296471483019,Low
394278,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,28,1,0,0,1,0,1,AG,0.016055011017011032,Low
394278,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,71,0,0,0,1,0,0,AG,0.016055011017011032,Low
394279,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,35,1,0,0,1,0,1,AG,0.011034382797163107,Low
394279,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,49,0,0,0,1,0,0,AG,0.011034382797163107,Low
394280,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,15,1,0,0,1,0,1,AG,0.013904799852217478,Low
394280,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,17,1,0,0,1,0,1,AG,0.013904799852217478,Low
394281,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,41,0,0,0,1,0,0,AG,0.05019030303684195,Medium
394281,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,64,1,0,0,1,0,1,AG,0.05019030303684195,Medium
394282,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,14,1,2,0,1,2,1,SO,0.04965514541467194,Medium
394282,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,16,0,0,0,1,0,0,SO,0.04965514541467194,Medium
394282,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,40,0,0,0,1,0,0,SO,0.04965514541467194,Medium
394283,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,22,1,3,0,3,1,1,SO,0.09589823778170012,High
394284,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,13,1,2,0,0,2,1,SO,0.05185545620976826,High
394285,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,12,0,1,0,3,1,0,Unknown,0.09733982826519205,High
394285,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,53,0,1,0,1,3,0,Unknown,0.09733982826519205,High
394285,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,56,1,3,0,1,3,1,Unknown,0.09733982826519205,High
394286,MALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,40,1,0,0,1,0,1,AG,0.015585837681353775,Low
394287,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,21,1,0,0,1,0,1,AG,0.01874090491014639,Low
394287,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,25,1,0,0,1,0,1,AG,0.01874090491014639,Low
