user_id,came_back,cluster_all_k2,cluster_behavior_k2,cluster_behavior_k5,cluster_gmm_k5
388868,1,0,0,0,0
388869,0,0,0,0,3
388870,1,0,0,0,0
388872,0,0,0,0,0
388873,1,0,0,0,0
388893,1,0,0,0,0
388961,1,0,0,4,4
388962,1,0,0,0,0
388963,1,0,0,0,0
388964,1,0,0,4,4
388965,1,0,0,0,0
388966,1,0,0,0,0
388967,1,0,0,0,0
388968,1,0,0,0,0
388970,1,0,0,0,0
388971,1,0,0,0,0
388972,1,0,0,0,0
388973,1,0,0,4,4
388974,1,0,0,4,4
388975,1,0,0,4,4
388976,1,0,0,4,4
388977,1,0,0,4,3
388978,1,0,0,0,0
388982,1,0,0,0,0
388984,1,0,0,0,0
388985,1,0,0,4,4
388986,1,0,0,0,3
388987,1,0,0,0,0
388988,1,0,0,0,0
388990,0,1,1,2,2
388992,0,0,0,4,4
388993,0,0,0,0,1
388994,1,0,0,0,2
388997,1,0,0,2,1
389004,0,0,0,0,2
389009,0,0,0,0,1
389010,0,0,0,0,3
389012,1,0,0,0,0
389014,0,0,0,0,0
389018,0,0,0,4,0
389023,1,0,0,0,0
389030,0,0,0,0,3
389037,1,0,0,2,0
389038,0,0,0,0,0
389039,0,0,0,0,2
389041,1,0,0,0,0
389045,1,0,0,0,0
389051,0,0,0,2,2
389053,0,0,0,0,0
389054,0,0,0,0,0
389056,0,0,0,0,0
389060,1,0,0,0,0
389061,1,0,0,0,1
389063,0,0,0,0,0
389065,1,0,0,0,2
389068,0,0,0,4,2
389069,1,0,0,0,0
389079,1,0,0,0,0
389081,1,0,0,3,3
389082,1,0,0,0,0
389087,1,0,0,4,4
389088,0,0,0,0,3
389107,0,1,1,1,1
389109,0,0,0,0,2
389115,1,0,0,2,2
389118,0,0,0,2,0
389121,0,0,0,0,2
389122,0,0,0,0,3
389145,0,0,0,0,0
389147,1,0,0,4,1
389149,0,0,0,0,0
389150,1,0,0,4,4
389153,0,0,0,0,0
389156,0,0,0,0,3
389158,1,0,0,0,1
389166,0,0,0,0,2
389167,1,0,0,0,0
389171,0,0,0,2,2
389173,0,0,0,0,0
389175,1,0,0,0,0
389180,1,0,0,0,0
389181,1,0,0,0,0
389182,1,0,0,0,0
389183,1,0,0,0,0
389185,1,0,0,0,2
389186,1,0,0,3,3
389187,1,0,0,0,3
389188,1,0,0,4,0
389189,1,0,0,0,0
389190,1,0,0,0,0
389191,1,0,0,0,0
389192,1,0,0,0,0
389193,1,0,0,0,0
389195,1,0,0,2,2
389196,1,0,0,0,0
389198,1,0,0,0,0
389200,0,0,0,4,4
389201,1,0,0,0,0
389202,1,0,0,0,2
389203,1,0,0,0,3
389204,1,0,0,0,0
389205,1,0,0,0,0
389206,1,0,0,0,0
