user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,end_week,is_dropout_point,cluster_spectral,spectral_agg,kmeans_flat,kmeans_eucl,cluster_kmeans,stage2_outcome,engagement_score,engagement_level,school_type
387830,Unknown,Unknown,Unknown,0,0,1,Unknown,35,0,3,0,3,3,3,0,72.0,Medium,Other
387830,Unknown,Unknown,Unknown,0,0,1,Unknown,61,0,2,0,1,2,2,0,44.0,Low,Other
387831,MALE,SG,Gymnasium,1,2,1,Secondary,35,0,1,0,1,3,1,0,114.0,Medium,Academic
387832,Unknown,Unknown,Unknown,0,0,1,Unknown,22,1,1,0,1,3,1,1,47.0,Low,Other
387832,Unknown,Unknown,Unknown,0,0,1,Unknown,66,1,1,0,1,1,1,1,160.0,Medium,Other
387833,Unknown,Unknown,Unknown,0,0,1,Unknown,40,0,0,0,1,0,0,0,89.0,Medium,Other
387834,Unknown,Unknown,Unknown,0,0,1,Unknown,24,1,0,0,1,0,0,1,266.0,High,Other
387834,Unknown,Unknown,Unknown,0,0,1,Unknown,30,1,0,0,1,0,0,1,56.0,Low,Other
387871,Unknown,Unknown,Unknown,0,0,1,Unknown,13,1,0,0,1,0,0,1,71.0,Medium,Other
387871,Unknown,Unknown,Unknown,0,0,1,Unknown,18,0,0,0,1,0,0,0,40.0,Low,Other
387872,Unknown,Unknown,Unknown,0,0,1,Unknown,32,0,0,0,1,0,0,0,588.0,High,Other
387873,Unknown,Unknown,Unknown,0,0,1,Unknown,16,1,3,0,1,3,3,1,70.0,Medium,Other
387873,Unknown,Unknown,Unknown,0,0,1,Unknown,25,0,3,0,3,1,3,0,48.0,Low,Other
387873,Unknown,Unknown,Unknown,0,0,1,Unknown,62,0,1,0,2,1,1,0,114.0,Medium,Other
387873,Unknown,Unknown,Unknown,0,0,1,Unknown,64,0,3,0,2,1,3,0,41.0,Low,Other
387874,FEMALE,SG,Gymnasium,0,2,1,Secondary,55,1,3,0,3,1,3,1,214.0,High,Academic
387875,MALE,SG,Gymnasium,0,2,1,Secondary,20,1,0,0,1,3,0,1,77.0,Medium,Academic
387875,MALE,SG,Gymnasium,0,2,1,Secondary,50,1,2,0,0,1,2,1,45.0,Low,Academic
387876,FEMALE,SG,Gymnasium,0,2,1,Secondary,15,0,3,0,1,3,3,0,75.0,Medium,Academic
387876,FEMALE,SG,Gymnasium,0,2,1,Secondary,33,1,0,0,1,3,0,1,105.0,Medium,Academic
387876,FEMALE,SG,Gymnasium,0,2,1,Secondary,46,0,1,0,3,1,1,0,66.0,Medium,Academic
387876,FEMALE,SG,Gymnasium,0,2,1,Secondary,52,1,3,2,2,1,3,1,132.0,Medium,Academic
387877,Other,SG,Gymnasium,0,2,1,Secondary,35,0,0,0,1,3,0,0,56.0,Low,Academic
387877,Other,SG,Gymnasium,0,2,1,Secondary,56,1,1,0,3,1,1,1,74.0,Medium,Academic
387878,MALE,SG,Gymnasium,0,2,1,Secondary,39,0,3,0,1,3,3,0,40.0,Low,Academic
387878,MALE,SG,Gymnasium,0,2,1,Secondary,45,0,3,0,3,1,3,0,80.0,Medium,Academic
387878,MALE,SG,Gymnasium,0,2,1,Secondary,66,0,0,0,1,0,0,0,136.0,Medium,Academic
387880,MALE,SG,Gymnasium,0,2,1,Secondary,23,0,1,0,1,3,1,0,104.0,Medium,Academic
387880,MALE,SG,Gymnasium,0,2,1,Secondary,27,1,3,0,3,1,3,1,197.0,High,Academic
387880,MALE,SG,Gymnasium,0,2,1,Secondary,45,0,1,0,0,1,1,0,30.0,Low,Academic
387883,MALE,SG,Gymnasium,0,2,1,Secondary,19,0,3,0,3,1,3,0,6.0,Low,Academic
